session,username,application,activity,event,time,created_at,updated_at,event_value,name,switch,x,type,board,source,dest,y,currentFlowing,groupname
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Joined Group,1487265873.2849998,0.0,0.0,Animals,"","","","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Selected board,1487265887.512,0.0,0.0,0,"","","","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Selected Username,1487265873.2849998,0.0,0.0,Lion,"","","","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Started session,1487265863.601999,0.0,0.0,"","","","","",0,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Started to join group,1487265870.789,0.0,0.0,Animals,"","","","",0,"","","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Started session,1487265878.188999,0.0,0.0,"","","","","",1,"","","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Started to join group,1487265887.128999,0.0,0.0,Animals,"","","","",1,"","","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Selected Username,1487265889.2489998,0.0,0.0,Tiger,"","","","",1,"","","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Selected board,1487265894.492,0.0,0.0,1,"","","","",1,"","","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Joined Group,1487265889.2489998,0.0,0.0,Animals,"","","","",1,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add Logic Chip,1487265896.644,0.0,0.0,"",lc0,"",480.20000000000005,7404,0,"","",27.44,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Closed board,1487265897.832,0.0,0.0,1,"","","","",1,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487265909.569,0.0,0.0,"",lc0,"",397.88,7404,0,"","",109.76,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add Logic Chip,1487265924.086999,0.0,0.0,"",lc1,"",192.08,7408,0,"","",164.64000000000001,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487265930.6499999,0.0,0.0,"",lc1,"",164.64000000000001,7408,0,"","",123.48,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Opened board,1487265938.585999,0.0,0.0,1,"","","","",1,"","","",true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Add Logic Chip,1487265944.792,0.0,0.0,"",lc2,"",301.84000000000003,7411,0,"","",260.68,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487265948.052,0.0,0.0,"",lc1,"",123.48,7408,0,"","",68.60000000000001,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487265951.503999,0.0,0.0,"",lc2,"",192.08,7411,0,"","",219.52,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487265954.134,0.0,0.0,"",lc1,"",425.32,7408,0,"","",246.96,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Add Logic Chip,1487265954.8339999,0.0,0.0,"",lc0,"",233.24,7411,1,"","",123.48,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487265955.611999,0.0,0.0,"",lc2,"",150.92000000000002,7411,0,"","",109.76,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Add Logic Chip,1487265959.253999,0.0,0.0,"",lc1,"",397.88,7432,1,"","",260.68,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Move Logic Chip,1487265959.796,0.0,0.0,"",lc2,"",123.48,7411,0,"","",96.04,true,Animals
d8452ed7-1d97-f299-0768-0cfb9eed6012,Lion,Teaching Teamwork,adder,Toggled Switch,1487265961.2499998,0.0,0.0,3,"",0,"","",0,"","","",true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Move Logic Chip,1487265962.855999,0.0,0.0,"",lc1,"",233.24,7432,1,"","",260.68,true,Animals
086f8831-cac6-08a4-351f-e2747fcae696,Tiger,Teaching Teamwork,adder,Move Logic Chip,1487265964.726999,0.0,0.0,"",lc0,"",246.96,7411,1,"","",96.04,true,Animals
