Student ID,Learner ID(s),Class ID,Class,School,UserID,Perm. Forms,Username,Student Name,Teachers,# Completed,% Completed,# Correct,Last run,Remote Endpoint,"Teaching Teamwork - Three Resistors Field Test SectionAssessments Completed",% Completed,1: Are you ready to start?,submitted
49554,60806,2688,ELEC-131-CS01F,Brookdale Community College,52455,none,n/a,N/A,John Ostar,1/1(1),100%,0/1,22.02.2017 21:33:03,https://learn.concord.org/dataservice/external_activity_data/55c893db-f8ce-4cb8-b479-cc53866e1236,1,100%,Yes,yes
49550,60827,2688,ELEC-131-CS01F,Brookdale Community College,52451,none,n/a,N/A,John Ostar,1/1(1),100%,0/1,22.02.2017 21:37:09,https://learn.concord.org/dataservice/external_activity_data/49829b6f-dd4b-497f-a654-e81bab40e992,1,100%,Yes,yes
49565,60836,2688,ELEC-131-CS01F,Brookdale Community College,52466,none,n/a,N/A,John Ostar,1/1(1),100%,0/1,22.02.2017 21:37:25,https://learn.concord.org/dataservice/external_activity_data/9785279e-3b10-4838-ba0e-a64b997756a3,1,100%,Yes,yes
49546,60816,2688,ELEC-131-CS01F,Brookdale Community College,52447,none,n/a,N/A,John Ostar,1/1(1),100%,0/1,22.02.2017 21:34:04,https://learn.concord.org/dataservice/external_activity_data/769cd1da-2555-42e2-b340-332cf35932ae,1,100%,Yes,yes
49558,60814,2688,ELEC-131-CS01F,Brookdale Community College,52459,none,n/a,N/A,John Ostar,1/1(1),100%,0/1,22.02.2017 21:34:17,https://learn.concord.org/dataservice/external_activity_data/9f7c0bcb-0964-4451-b651-5b3ae646033a,1,100%,Yes,yes
49553,60802,2688,ELEC-131-CS01F,Brookdale Community College,52454,none,n/a,N/A,John Ostar,1/1(1),100%,0/1,22.02.2017 21:32:21,https://learn.concord.org/dataservice/external_activity_data/7c4c5da8-ffe6-43a4-8284-c758dd86666d,1,100%,Yes,yes
49547,60825,2688,ELEC-131-CS01F,Brookdale Community College,52448,none,n/a,N/A,John Ostar,1/1(1),100%,0/1,22.02.2017 21:35:24,https://learn.concord.org/dataservice/external_activity_data/1ca84861-5730-4d21-81e8-209a5e1b8c08,1,100%,Yes,yes
49545,60820,2688,ELEC-131-CS01F,Brookdale Community College,52446,none,n/a,N/A,John Ostar,1/1(1),100%,0/1,22.02.2017 21:34:16,https://learn.concord.org/dataservice/external_activity_data/c01a881f-ff5a-4e47-96d3-118dc605a9a7,1,100%,Yes,yes
49571,60831,2688,ELEC-131-CS01F,Brookdale Community College,52473,none,n/a,N/A,John Ostar,1/1(1),100%,0/1,22.02.2017 21:36:48,https://learn.concord.org/dataservice/external_activity_data/c8ed2f56-4db1-4d2c-acc9-42c15dada47c,1,100%,Yes,yes
49569,60832,2688,ELEC-131-CS01F,Brookdale Community College,52471,none,n/a,N/A,John Ostar,1/1(1),100%,0/1,22.02.2017 21:36:59,https://learn.concord.org/dataservice/external_activity_data/7619a44b-973f-45c7-97d7-a6566efdab7d,1,100%,Yes,yes
